atomic_number,name,symbol,period,atomic_mass,density,melting_point,boiling_point,atomic_radius,atomic_volume,covalent_radius,covalent_volume,van_der_waals_radius,van_der_waals_volume,specific_heat,heat_of_formation,thermal_conductivity,pauling_electronegativity,sanderson_electronegativity,allen_electronegativity,ghosh_electronegativity,first_ionisation_energy,most_stable_oxidation_states,lattice_constant,electron_affinity,dipole_polarizability,dispersion_coefficient
1,Hydrogen,H,1,1.00794,0.0708,14.01,20.28,0.79,14.1,0.32,0.13725827743044047,1.1,5.575279762570688,14.267,217.998,0.1815,2.2,2.59,13.61,0.2638,13.590713582422138,1.0,3.75,0.754195,0.6673639911645974,6.51
2,Helium,He,1,4.0026019999999995,0.147,0.95,4.216,0.49,31.8,0.93,3.369282722751367,1.4,11.494040321933854,5.188,,0.152,,,24.59,0.442712,24.473234181478986,0.0,3.57,-19.7,0.20489069997714981,1.47
3,Lithium,Li,2,6.941,0.534,553.69,1118.15,2.05,13.1,1.23,7.794781462010235,1.82,25.252406587288686,3.489,159.3,84.8,0.98,0.89,5.392,0.105093,5.388402342333005,1.0,3.49,0.618049,24.3,1410.0
4,Beryllium,Be,2,9.01218,1.848,1551.0,3243.0,1.4,5.0,0.9,3.053628059289279,1.53,15.002474655288227,1.824,324.0,201.0,1.57,1.81,9.323,0.144986,9.315437632792662,2.0,2.29,-2.4,5.588130093685733,214.0
5,Boron,B,2,10.811,2.34,2573.0,3931.0,1.17,4.6,0.82,2.309564877632662,1.92,29.647787924975134,1.025,565.0,27.4,2.04,2.28,12.13,0.184886,8.293517127014564,3.0,8.73,0.279723,3.0354177774392563,99.2
6,Carbon,C,2,12.011,2.25,3820.0,5100.0,0.91,5.3,0.77,1.912320958561745,1.7,20.579526276115534,0.711,716.87,1.59,2.55,2.75,15.05,0.22477600000000003,11.25252629942478,4.0,3.57,1.262119,1.6731815065884683,47.9
7,Nitrogen,N,2,14.006739999999999,0.8079999999999999,63.29,77.4,0.75,17.3,0.75,1.7671458676442586,1.55,15.598531123848922,1.042,472.44,0.026,3.04,3.19,18.13,0.26493,14.525573923407785,3.0,4.039,-1.4,1.095711783075634,25.7
8,Oxygen,O,2,15.9994,1.149,54.8,90.19,0.65,14.0,0.73,1.629510599095387,1.52,14.710226951490485,0.916,249.229,0.027,3.44,3.65,21.36,0.304575,13.609369332020519,2.0,6.83,1.4611135,0.784766547337954,16.7
9,Fluorine,F,2,18.998403,1.1079999999999999,53.53,85.01,0.57,17.1,0.72,1.5634575663561106,1.47,13.305788427678676,0.824,79.335,0.028,3.98,4.0,24.8,0.344443,17.412032958490958,1.0,,3.4011897000000006,0.5537786579328204,10.2
10,Neon,Ne,2,20.1797,1.204,48.0,27.1,0.51,16.8,0.71,1.4992140909853018,1.54,15.29856766849396,1.029,,,0.0,,28.31,0.38439,21.551536508265535,0.0,4.43,,0.39402684134359045,6.91
11,Sodium,Na,3,22.989767999999998,0.971,370.96,1156.1,2.23,23.7,1.54,15.29856766849396,2.27,48.9966266949734,1.222,107.5,142.0,0.93,0.56,5.14,0.093214,5.1365497227548325,1.0,4.23,0.547926,24.09085231167644,1570.0
12,Magnesium,Mg,3,24.305,1.7380000000000002,922.0,1363.0,1.72,14.0,1.36,10.536717453371159,1.73,21.688370252755977,1.025,147.1,156.0,1.31,1.32,7.646,0.121644,7.641602321604394,2.0,3.21,,10.542524183106101,629.0
13,Aluminum,Al,3,26.981539,2.6989,933.5,2740.0,1.62,10.0,1.18,6.882316347750592,1.84,26.09408533587764,0.9,330.9,237.0,1.61,1.71,9.539,0.150078,5.982277037881538,3.0,4.05,0.43283,8.558397440779952,520.0
14,Silicon,Si,3,28.0855,2.33,1683.0,2628.0,1.44,12.1,1.11,5.728719336562218,2.1,38.79238608652677,0.703,450.0,149.0,1.9,2.14,11.33,0.178503,8.146343991293984,4.0,5.43,1.3895211,5.522979663340696,308.0
15,Phosphorus,P,3,30.973762,1.82,317.3,553.0,1.23,17.0,1.06,4.988916154543869,1.8,24.429024474314232,0.757,316.5,,2.19,2.52,13.33,0.206931,10.480385552158367,5.0,7.17,0.746607,3.701728996877142,187.0
16,Sulfur,S,3,32.066,2.07,386.0,717.824,1.09,15.5,1.02,4.445177675640956,1.8,24.429024474314232,0.732,277.17,0.27,2.58,2.96,15.31,0.23596,10.35394102710266,6.0,10.47,2.07710403,2.872541701576662,140.0
17,Chlorine,Cl,3,35.4527,1.56,172.2,238.6,0.97,18.7,0.99,4.0643789469140295,1.75,22.449297503777064,0.477,121.302,0.009,3.16,3.48,16.97,0.263803,13.006166761672802,1.0,6.24,3.612725,2.1618097341762508,97.1
18,Argon,Ar,3,39.948,1.4,83.8,87.3,0.88,24.2,0.98,3.942455830423312,1.88,27.833136987618392,0.138,,0.0177,0.0,,19.17,0.2922,15.749598383168369,0.0,5.26,-11.5,1.6410504988955745,67.4
19,Potassium,K,4,39.0983,0.856,336.8,1047.0,2.77,45.3,2.03,35.041018676455586,2.75,87.11374629016696,0.753,89.0,79.0,0.82,0.45,4.34,0.0981896,4.3374617816240875,1.0,5.23,0.50147,42.89563561581232,3910.0
20,Calcium,Ca,4,40.078,1.55,1112.0,1757.0,2.23,29.9,1.74,22.06664732977962,2.31,51.63266588116713,0.653,177.8,,1.0,0.95,6.1129999999999995,0.1154119,6.108721562937244,2.0,5.58,0.02455,23.80952090791378,2230.0
21,Scandium,Sc,4,44.955909999999996,2.99,1814.0,3104.0,2.09,15.0,1.44,12.507660530848884,2.15,41.62976785149394,0.556,377.8,15.8,1.36,,7.042000000000001,0.11938330000000001,6.537803803700057,3.0,3.31,0.188,14.36270850788331,1570.0
22,Titanium,Ti,4,47.88,4.54,1933.0,3560.0,2.0,10.6,1.32,9.634083429722146,2.11,39.349206157239216,0.523,473.0,21.9,1.54,,8.17,0.12336369999999999,6.817640047675804,4.0,2.95,0.079,14.806915987508567,1200.0
23,Vanadium,V,4,50.9415,6.11,2160.0,3650.0,1.92,8.35,1.22,7.606206315780958,2.07,37.15349259737265,0.485,515.5,30.7,1.63,,9.062999999999999,0.12733440000000001,6.737834896616055,5.0,3.02,0.525,12.882016909132455,955.0
24,Chromium,Cr,4,51.9961,7.18,2130.0,2945.0,1.85,7.23,1.18,6.882316347750592,2.06,36.617633232844945,0.488,397.48,93.9,1.66,1.66,9.77,0.13130529999999999,6.761672798880656,3.0,2.88,0.6659999999999999,12.28974026963211,709.0
25,Manganese,Mn,4,54.93805,7.21,1517.0,2235.0,1.79,7.39,1.17,6.708820846258544,2.05,36.08695121301035,0.477,283.3,,1.55,2.2,10.34,0.1352844,7.429134062289474,4.0,8.89,,10.068702871505826,635.0
26,Iron,Fe,4,55.847,7.874,1808.0,3023.0,1.72,7.1,1.17,6.708820846258544,2.04,35.561421405127646,0.443,415.5,80.4,1.83,2.2,10.64,0.13925320000000002,7.86754417785148,3.0,2.87,0.151,9.180287912255311,548.0
27,Cobalt,Co,4,58.9332,8.9,1768.0,3143.0,1.67,6.7,1.16,6.538265875490257,2.0,33.510321638291124,0.456,426.7,100.0,1.88,2.56,10.86,0.14323629999999998,7.857179872519045,2.0,2.51,0.66225646,8.143803793129711,461.0
28,Nickel,Ni,4,58.6934,8.902000000000001,1726.0,3005.0,1.62,6.6,1.15,6.3706263027045,1.97,32.024863534338344,0.443,430.1,90.9,1.91,1.94,11.13,0.1472068,7.6302015857387175,2.0,3.52,1.156,7.2553888338791985,393.0
29,Copper,Cu,4,63.54600000000001,8.96,1356.6,2840.0,1.57,7.1,1.17,6.708820846258544,1.96,31.539646643386497,0.385,337.4,401.0,1.9,1.95,10.96,0.15117160000000002,7.721407472664144,2.0,3.61,1.235,6.885215934191484,264.0
30,Zinc,Zn,4,65.39,7.132999999999999,692.73,1180.0,1.53,9.2,1.25,8.18123086872342,2.01,34.01549392577856,0.388,130.4,116.0,1.65,2.23,9.395,0.15515179999999998,9.387987770119707,2.0,2.66,,5.725834412369563,276.0
31,Gallium,Ga,4,69.723,5.91,302.93,2676.0,1.81,11.8,1.26,8.379155394689782,1.87,27.391349473509784,0.372,271.96,28.1,1.81,2.42,10.39,0.17237729999999998,5.997823495880189,3.0,4.51,0.43,7.403457993754284,456.0
32,Germanium,Ge,4,72.61,5.3229999999999995,1210.6,3103.0,1.52,13.6,1.22,7.606206315780958,2.11,39.349206157239216,0.322,372.0,60.2,2.01,2.62,11.8,0.1895892,7.876872052650671,4.0,5.66,1.232712,5.9227663950034275,365.0
33,Arsenic,As,4,74.92159000000002,5.73,1090.0,876.0,1.33,13.1,1.2,7.238229473870883,1.85,26.521848780380633,0.328,302.5,,2.18,2.82,13.08,0.2068208,9.806705705550087,3.0,4.13,0.804,4.44207479625257,260.0
34,Selenium,Se,4,78.96,4.79,490.0,958.1,1.22,16.5,1.16,6.538265875490257,1.9,28.730912014629848,0.321,227.2,0.52,2.55,3.01,14.34,0.2240328,9.746592734621961,4.0,4.36,2.02067,4.279198720389976,233.0
35,Bromine,Br,4,79.904,3.12,265.9,331.9,1.12,23.5,1.14,6.205876995160048,1.85,26.521848780380633,0.473,111.85,0.005,2.96,3.22,15.88,0.2412578,11.836036689640878,1.0,6.67,3.3635882000000006,3.1094523573767994,187.0
36,Krypton,Kr,4,83.8,2.155,116.6,120.85,1.03,32.2,1.89,28.27964945707801,2.02,34.525717894252985,0.247,,0.0095,0.0,,17.54,0.2584813,13.991812198787375,0.0,5.72,,2.484600502703938,136.0
37,Rubidium,Rb,5,85.4678,1.5319999999999998,312.2,961.0,2.98,55.9,2.16,42.213354291615,3.03,116.52429789310382,0.36,80.9,58.2,0.82,0.31,4.177,0.10468599999999999,4.174742187904855,1.0,5.59,0.48591999999999996,47.3525173280524,4660.0
38,Strontium,Sr,5,87.62,2.54,1042.0,1657.0,2.45,33.7,1.91,29.186949793015152,2.49,64.6675861902533,0.301,164.0,,0.95,0.72,5.695,0.1185082,5.690003627506868,2.0,6.08,0.048,29.199238327366896,3230.0
39,Yttrium,Y,5,88.90585,4.47,1795.0,3611.0,2.27,19.8,1.62,17.80875884177508,2.32,52.30612700392206,0.284,424.7,,1.22,,6.631,0.1216986,6.378193501580556,3.0,3.65,0.307,23.98720389976388,2600.0
40,Zirconium,Zr,5,91.22399999999999,6.506,2125.0,4650.0,2.16,14.1,1.45,12.770050538066908,2.23,46.4518696249224,0.281,610.0,22.7,1.33,,7.808,0.12488869999999999,6.837332227807432,4.0,3.23,0.426,16.583745906009597,1360.0
41,Niobium,Nb,5,92.90638,8.57,2741.0,5015.0,2.08,10.8,1.34,10.078664866897356,2.18,43.396838320914526,0.268,733.0,53.7,1.6,,8.34,0.1280782,6.877753018603928,5.0,3.3,0.917406,14.510777667758397,1140.0
42,Molybdenum,Mo,5,95.94,10.22,2890.0,4885.0,2.01,9.4,1.3,9.202772079915702,2.17,42.80236940384144,0.251,658.98,,2.16,1.15,8.71,0.1312672,7.0974762916515495,6.0,3.15,0.748,12.882016909132455,1030.0
43,Technetium,Tc,5,97.9072,11.5,2445.0,5150.0,1.95,8.5,1.27,8.580246646050961,2.16,42.213354291615,0.243,678.0,50.6,1.9,,8.94,0.1344592,7.277815204435923,7.0,2.74,0.55,11.697463630131768,939.0
