,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets
0,1,6.166088133211489,10.675363739861382,6.166088133211489,6.711493492126465,6.769529342651367,6.761100769042969,407425,206059
1,2,5.161555225937454,16.175595061690718,5.161555225937454,6.707729339599609,6.765784740447998,6.757362365722656,405969,203822
2,3,4.005143730022289,16.812163959079317,4.005143730022289,6.701912879943848,6.759998798370361,6.75156831741333,406441,202345
3,4,2.5395767916573417,15.334085405137804,2.5395767916573417,6.694207191467285,6.752333164215088,6.743813514709473,404529,199913
4,5,1.0656696621576944,13.168363658763743,1.0656696621576944,6.675509452819824,6.732850551605225,6.7242631912231445,407974,195396
5,6,0.7527228122287326,9.998955150180393,0.7527228122287326,5.936835289001465,5.981029987335205,5.973936557769775,407497,186886
6,7,0.6790479191144307,8.229806055139612,0.6790479191144307,4.680086612701416,4.7224650382995605,4.7140936851501465,406476,181315
7,8,0.668375890608187,7.323058892002813,0.668375890608187,3.4051008224487305,3.431511878967285,3.425279140472412,407502,176988
8,9,0.612043044037289,6.513824881094473,0.612043044037289,2.6734228134155273,2.6894166469573975,2.6818249225616455,406780,173442
9,10,0.5850811310167666,6.466562721111156,0.5850811310167666,2.0245816707611084,2.0505707263946533,2.0263168811798096,406656,165070
10,11,0.5747535169566119,6.068553365424827,0.5747535169566119,1.464802861213684,1.4463039636611938,1.432676076889038,406636,173414
11,12,0.5696344042707373,5.490258770695439,0.5696344042707373,1.216284155845642,1.169427752494812,1.14596688747406,407312,167701
12,13,0.5626449697989004,6.025907621030454,0.5626449697989004,0.9450236558914185,0.9105921387672424,0.8781062364578247,406459,169093
13,14,0.5592339779712536,6.087322718302409,0.5592339779712536,0.9830400347709656,0.9111737608909607,0.8990354537963867,407016,167857
14,15,0.5181937962108188,5.302808031859222,0.5181937962108188,0.9332270622253418,0.8346413373947144,0.8256939053535461,405575,162289
15,16,0.4956835690251103,5.3214787878813565,0.4956835690251103,0.9111589193344116,0.8206100463867188,0.7803866863250732,406865,163254
16,17,0.49402141871275723,5.1288440725538464,0.49402141871275723,0.9435557126998901,0.8403533101081848,0.8047166466712952,406747,162281
17,18,0.5070952527611344,5.097456547066018,0.5070952527611344,0.7771325707435608,0.7220670580863953,0.6378076076507568,407424,168860
18,19,0.4741459862391154,4.631320913102892,0.4741459862391154,0.7767242789268494,0.7063319087028503,0.6412627100944519,407390,160581
19,20,0.47969818154970806,5.034164691501194,0.47969818154970806,0.7725499272346497,0.7393814325332642,0.6396631598472595,406332,167551
20,21,0.4536468520870915,4.789553423987495,0.4536468520870915,0.7581198811531067,0.7069646120071411,0.6174246668815613,406694,162302
21,22,0.4665247760878669,4.3808224988866735,0.4665247760878669,0.9802426695823669,0.91512531042099,0.8574764728546143,407143,161761
22,23,0.5083576659361522,4.752228715684679,0.5083576659361522,0.7579701542854309,0.7414854764938354,0.6504716277122498,404196,158933
23,24,0.4795645516890067,5.79121459113227,0.4795645516890067,0.774161696434021,0.7287374138832092,0.6142305731773376,406857,168933
24,25,0.4842725286660371,4.7497568808661565,0.4842725286660371,0.8366503119468689,0.7600046396255493,0.6807993650436401,405920,167881
25,26,0.4475936728936655,4.70331393206561,0.4475936728936655,0.730577290058136,0.6965659856796265,0.5823076367378235,406163,160347
26,27,0.42459400300626404,4.784506929185655,0.42459400300626404,0.7734348177909851,0.7029742002487183,0.6167076826095581,405414,159945
27,28,0.42567693652930083,4.544127943250868,0.42567693652930083,0.7705407738685608,0.7126489281654358,0.5835379958152771,406166,160016
28,29,0.43779218373475254,4.697742306038186,0.43779218373475254,0.7572529911994934,0.7073767185211182,0.5832551121711731,406053,162217
29,30,0.4617080091547083,5.112579164151792,0.4617080091547083,0.779045581817627,0.7447035312652588,0.6251435279846191,406060,166885
30,31,0.4661918463530364,4.388013876455801,0.4661918463530364,0.7795788049697876,0.7259988188743591,0.6022045612335205,406810,159788
31,32,0.4524418873698623,4.743508848967376,0.4524418873698623,0.7974255681037903,0.7628675103187561,0.620176374912262,407150,162401
32,33,0.42837128577408967,5.036586570033321,0.42837128577408967,0.7958700060844421,0.7278663516044617,0.6333776712417603,404649,162400
33,34,0.45522249627996375,4.604596012963189,0.45522249627996375,0.7495138049125671,0.6921908855438232,0.5689666867256165,406170,160439
34,35,0.4223671477812308,4.859236823187934,0.4223671477812308,0.7540577054023743,0.6946878433227539,0.5759581327438354,407745,164773
35,36,0.43465724097357855,5.022208001172101,0.43465724097357855,0.7479535937309265,0.6961173415184021,0.5849849581718445,406309,162798
36,37,0.41727278537220425,4.655809164400454,0.41727278537220425,0.7460806965827942,0.6992297768592834,0.5611094236373901,407349,161136
37,38,0.40186702684119896,4.6251048688535334,0.40186702684119896,0.7517290711402893,0.6730811595916748,0.5667958855628967,407173,161221
38,39,0.41532190958658854,4.729051830856888,0.41532190958658854,0.7277404069900513,0.6652804613113403,0.5338307619094849,406324,160502
39,40,0.4043358618241769,4.889089492515281,0.4043358618241769,0.824038565158844,0.7748398184776306,0.6599407196044922,407588,163305
40,41,0.39655689142368455,4.588016400513825,0.39655689142368455,0.7707735896110535,0.7807344794273376,0.6147791743278503,406412,161291
41,42,0.42305869777997335,4.589964465035332,0.42305869777997335,0.7393177151679993,0.6873761415481567,0.5219966173171997,407571,161191
42,43,0.40280266558682476,4.544187270976879,0.40280266558682476,0.8512225151062012,0.775627851486206,0.6607357859611511,407202,161094
43,44,0.4249399439493815,4.691921375062731,0.4249399439493815,0.7361196279525757,0.7080381512641907,0.5289942026138306,406630,160893
44,45,0.37825627834708603,4.66858289859913,0.37825627834708603,0.884105920791626,0.8048779368400574,0.7033427357673645,407588,164318
45,46,0.38030551932476186,4.599568607189037,0.38030551932476186,0.8393825888633728,0.8454714417457581,0.6770336627960205,405394,158017
46,47,0.39327271430580707,4.849494762420655,0.39327271430580707,0.7583984732627869,0.7139991521835327,0.5564133524894714,406494,164463
47,48,0.35691459404097664,4.854993043828894,0.35691459404097664,0.7306891083717346,0.6669747233390808,0.4973841607570648,406845,164448
48,49,0.35834286000993515,4.664193328574852,0.35834286000993515,0.7605676651000977,0.6735042929649353,0.5135825276374817,406739,160133
49,50,0.36821958983386005,4.864511916549118,0.36821958983386005,0.7365443706512451,0.6973649263381958,0.5288083553314209,407589,163306
50,51,0.35555014155529163,4.7656031446103695,0.35555014155529163,0.7129111886024475,0.6788182854652405,0.4775475859642029,406068,160770
51,52,0.34648272456946194,5.04964259536178,0.34648272456946194,0.7174272537231445,0.6691328883171082,0.5026141405105591,406465,163069
52,53,0.3531178246604072,5.116802429623074,0.3531178246604072,0.7163377404212952,0.6781501770019531,0.48361071944236755,407898,165639
53,54,0.34548029837784944,5.159011159826208,0.34548029837784944,0.7515669465065002,0.7009415030479431,0.49765411019325256,407755,165803
54,55,0.3398995978302426,4.882846635182698,0.3398995978302426,0.7235651612281799,0.6796337366104126,0.46371498703956604,406731,163202
55,56,0.3486400888142762,4.395362841994674,0.3486400888142762,0.8005934357643127,0.7454327940940857,0.6062809228897095,407858,159229
56,57,0.37216270954520614,4.489021055786698,0.37216270954520614,0.7727364897727966,0.714483380317688,0.5645445585250854,404562,162280
57,58,0.391532491268935,4.798089064138907,0.391532491268935,0.9298476576805115,0.9074022173881531,0.7474319934844971,407332,161351
58,59,0.3822036321074874,4.927847126148365,0.3822036321074874,0.7319954633712769,0.657710075378418,0.45653194189071655,407907,168454
59,60,0.3389376895516007,4.7179198272139935,0.3389376895516007,0.7189576029777527,0.6772017478942871,0.47175487875938416,406594,160230
60,61,0.34254298430901986,4.935840881488941,0.34254298430901986,0.7601348757743835,0.7141789793968201,0.5204934477806091,407461,164994
61,62,0.3380240664658723,4.672505875340215,0.3380240664658723,0.9164490699768066,0.863080620765686,0.7255957722663879,407534,162120
62,63,0.40994021738017045,4.4699282285902235,0.40994021738017045,0.7147151231765747,0.7091851234436035,0.45945149660110474,406481,156675
63,64,0.3757956897329401,5.186318397521973,0.3757956897329401,0.7253497242927551,0.7105158567428589,0.4629632830619812,407185,167118
64,65,0.3513464834513488,4.724957627190484,0.3513464834513488,0.8521832823753357,0.8250007629394531,0.628587007522583,406141,160572
