,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets,train_n_pos_triplets,val_n_pos_triplets,test_n_pos_triplets,seed,backbone,loss
0,637,0.0934267000578067,3.75308307647705,0.0934267000578067,0.6785573959350586,0.6266168355941772,0.6266169548034668,407027,168279,155378,153991,155379,8,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
1,787,0.0806580587559276,3.7833325993573226,0.0806580587559276,0.7157976031303406,0.6927924752235413,0.6927926540374756,404052,165995,156561,158915,156561,16,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
2,302,0.1498869370089637,3.849712700313992,0.1498869370089637,0.7252823710441589,0.7262796759605408,0.7262798547744751,407076,170924,154367,160369,154368,24,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
3,89,0.2802323520625079,3.367317543382998,0.2802323520625079,0.7555703520774841,0.6878867149353027,0.6878865957260132,403512,148269,144027,151009,144027,42,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
4,759,0.0865466124150488,3.554592765878748,0.0865466124150488,0.5694006085395813,0.6327760815620422,0.6327760815620422,408079,176219,156167,155800,156167,64,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
5,773,0.0845572498771879,3.0629136230327463,0.0845572498771879,0.7618829607963562,0.7425591349601746,0.7425591349601746,406213,156486,150324,156870,150323,128,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
6,29,0.4228171756090941,8.218267935293692,0.4228171756090941,0.6487566828727722,0.7235386371612549,0.7235385775566101,403494,168576,147845,151170,147845,256,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
7,44,0.3858851518895891,6.535048290535256,0.3858851518895891,0.6769600510597229,0.6725011467933655,0.6725012063980103,406735,168099,148696,133443,148696,512,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
8,602,0.1091266780870932,3.805539470601965,0.1091266780870932,0.6954828500747681,0.7048959732055664,0.7048959732055664,404671,166467,158130,152839,158130,1024,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
9,386,0.123104882383788,3.704540776499996,0.123104882383788,0.6630181670188904,0.6601415276527405,0.6601415276527405,407209,166924,153481,155508,153481,2048,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
10,137,0.2123177598140858,2.413374755294235,0.2123177598140858,0.662993848323822,0.6380022764205933,0.6380022764205933,406629,178122,166831,167432,166831,8,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
11,741,0.1079350408911705,2.3381460961589107,0.1079350408911705,0.6537228226661682,0.6936437487602234,0.6936437487602234,404509,181573,173593,169869,173593,16,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
12,575,0.0651824985941251,2.544099269443088,0.0651824985941251,0.621292233467102,0.6598623394966125,0.6598623394966125,405926,199642,177358,176183,177358,24,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
13,650,0.1003040496729038,2.5031502303370723,0.1003040496729038,0.7059898972511292,0.6490374803543091,0.6490374803543091,404805,194967,179530,182637,179530,42,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
14,77,0.2818395268917084,2.470399413285432,0.2818395268917084,0.6624781489372253,0.7253061532974243,0.7253061532974243,403464,164473,170277,152271,170277,64,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
15,631,0.066933731480881,2.162347596839622,0.066933731480881,0.6153823137283325,0.6981564164161682,0.6981564164161682,404176,181253,173041,172210,173041,128,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
16,507,0.0803280798594156,2.341754044426812,0.0803280798594156,0.7027983069419861,0.6562751531600952,0.6562751531600952,405369,187594,171866,180058,171866,256,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
17,772,0.0895104422061531,2.220939984144988,0.0895104422061531,0.6608434915542603,0.7829042673110962,0.7829042673110962,410085,189439,177755,183177,177755,512,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
18,655,0.0841942849976045,2.218917395627057,0.0841942849976045,0.6904018521308899,0.673919677734375,0.673919677734375,407854,187856,175193,171055,175193,1024,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
19,748,0.1009922972652647,2.260183593608715,0.1009922972652647,0.6190281510353088,0.7388687133789062,0.738868772983551,401551,191134,181736,178610,181736,2048,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
20,81,0.2769155487749312,2.660688779972218,0.2769155487749312,0.6898266673088074,0.6631556749343872,0.4217849969863891,406123,189127,190189,168493,158805,8,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
21,175,0.173954144473429,2.46614038043552,0.173954144473429,0.6245046854019165,0.781708836555481,0.2460971176624298,407368,188066,190500,170961,169561,16,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
22,708,0.0660032021999359,2.5079329999287925,0.0660032021999359,0.752385675907135,0.6805117130279541,0.0864234119653701,405506,190868,191280,180019,180517,24,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
23,718,0.0665336741672621,2.223100176387363,0.0665336741672621,0.7388175129890442,0.7422176599502563,0.1180144175887107,406538,196558,196866,185011,184901,42,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
24,184,0.1238109783773069,2.5225798832928694,0.1238109783773069,0.6706506013870239,0.7630287408828735,0.2079818397760391,406460,198187,199288,184606,186204,64,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
25,762,0.088829909298155,2.2737053327207213,0.088829909298155,0.6813337206840515,0.7053837180137634,0.1169441193342208,407985,204838,206448,181042,185207,128,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
26,745,0.0591684746190353,2.16916150799504,0.0591684746190353,0.6633216142654419,0.720625638961792,0.0976507142186164,407644,198207,199059,185319,182462,256,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
27,399,0.0957685719927152,2.5166526172779227,0.0957685719927152,0.6709035634994507,0.6483398079872131,0.1424756199121475,403239,198268,201805,180056,181564,512,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
28,781,0.0504557596643765,2.525839967021236,0.0504557596643765,0.7255206108093262,0.6462810635566711,0.0691124498844146,405362,202487,203862,183216,185903,1024,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
29,115,0.2475482909767716,2.845476235283745,0.2475482909767716,0.6888052225112915,0.6271346211433411,0.3588204979896545,406036,186157,182583,161243,166002,2048,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
