,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets,train_n_pos_triplets,val_n_pos_triplets,test_n_pos_triplets,seed,backbone,loss
0,732,0.0178837822156923,482.122525499132,0.0178837822156923,0.7099196314811707,0.6375674605369568,0.1343115717172622,406026,158248,155548,141062,137396,8,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
1,765,0.0127848737355735,496.9557599103009,0.0127848737355735,0.7863758206367493,0.6796048879623413,0.0968188196420669,409764,167019,163926,156362,147305,16,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
2,788,0.0088903985241497,547.6094829191985,0.0088903985241497,0.7332903146743774,0.7872591614723206,0.0786695778369903,408255,163165,161986,150538,155432,24,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
3,624,0.020836426726094,834.1781702112269,0.020836426726094,0.7295857667922974,0.6884348392486572,0.1291685253381729,404787,172361,172266,166146,160482,42,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
4,734,0.0135269421587387,500.4891536458333,0.0135269421587387,0.6611558794975281,0.7143922448158264,0.1122208759188652,403740,163394,162643,144932,150780,64,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
5,707,0.0096029911135081,532.7506922743056,0.0096029911135081,0.6607736945152283,0.7826378345489502,0.1036573722958564,406589,169141,169269,143578,152545,128,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
6,758,0.0109848404179016,586.9079680718316,0.0109848404179016,0.669933557510376,0.7288563847541809,0.0864952206611633,406733,165103,164474,152366,154493,256,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
7,539,0.0103764058428782,549.0792258933739,0.0103764058428782,0.7167853116989136,0.6318657398223877,0.1040174216032028,405361,162944,164988,150020,152001,512,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
8,779,0.0147108011540991,564.9745277235243,0.0147108011540991,0.7180156111717224,0.7134897708892822,0.0740757137537002,406344,162013,162112,156412,157872,1024,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
9,31,0.2502086956412704,1124.865753219039,0.2502086956412704,0.7229769825935364,0.7989584803581238,0.5019834637641907,406852,165317,174495,145087,141692,2048,PNA,Without AC-awareness ($\mathcal{L}_{mae}$)
10,60,0.1860573193762037,194.784704928928,0.1860573193762037,0.6594454050064087,0.6544917225837708,0.4190886914730072,406034,150330,147801,136482,134773,8,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
11,142,0.0556567031476232,211.42114047580296,0.0556567031476232,0.62276291847229,0.726815938949585,0.2107576578855514,406223,156354,154563,137836,149139,16,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
12,762,0.0118664889258367,178.4760031467014,0.0118664889258367,0.6887232065200806,0.678675651550293,0.051439844071865,407729,155028,154314,152284,144897,24,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
13,69,0.1598519365875809,177.16690893102574,0.1598519365875809,0.6957345008850098,0.6892003417015076,0.3821872472763061,406597,149262,147792,129596,134830,42,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
14,775,0.0143646062227586,194.86635696976276,0.0143646062227586,0.6632862091064453,0.69866544008255,0.1469195038080215,404968,160561,160164,153934,151121,64,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
15,90,0.188021962598518,183.7439535635489,0.188021962598518,0.6497690677642822,0.6458130478858948,0.4069095551967621,407094,142814,141953,130506,136996,128,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
16,757,0.0060024471636171,163.92988242820456,0.0060024471636171,0.623941957950592,0.6683191061019897,0.055105336010456,407272,166424,168159,152242,148762,256,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
17,794,0.0088361301107539,161.11178857873986,0.0088361301107539,0.6665390729904175,0.7256322503089905,0.0705723837018013,405759,154353,155459,142706,147314,512,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
18,675,0.0077944766895638,190.7292340992115,0.0077944766895638,0.6609105467796326,0.6092033386230469,0.0715802684426307,403228,160018,160704,141909,145912,1024,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
19,122,0.1062747876732437,215.15779100206163,0.1062747876732437,0.6895059943199158,0.6799517869949341,0.2936727404594421,404796,145924,142188,136533,137167,2048,GAT,Without AC-awareness ($\mathcal{L}_{mae}$)
20,167,0.0578421918661506,167.9861698404948,0.0578421918661506,0.6753491759300232,0.6651617884635925,0.2154261618852615,406050,162166,162306,147163,138732,8,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
21,157,0.0707420138959531,178.50370564778646,0.0707420138959531,0.6305850148200989,0.7754790186882019,0.2456668317317962,406948,156681,156705,142685,143132,16,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
22,754,0.0052557880348629,184.1510354049117,0.0052557880348629,0.7665533423423767,0.6949399709701538,0.0569005012512207,407198,162769,161235,149626,150849,24,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
23,138,0.0774753429161177,153.10144024884258,0.0774753429161177,0.7462891936302185,0.7625172734260559,0.2570246160030365,406692,148413,146428,145310,144409,42,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
