Molecule ChEMBL ID,x,y,pChEMBL,smiles,node_color,edgecolor,linewidths,node_size,label,alpha,node_shape
CHEMBL3661235,-0.058919817209243774,0.4108862280845642,6.2,COc1cc(-c2ccc3ncnc(Nc4ccc5nc[nH]c5c4)c3c2)ccc1O,#ff9f00,k,0,200,data,1,o
CHEMBL3661243,-0.33791282773017883,0.008133113384246826,6.98,COc1ccc(-c2ccc3ncnc(Nc4cccc(O)c4)c3c2)cc1,#4dffaa,k,0,200,data,1,o
CHEMBL3661250,0.4201221466064453,0.0031945109367370605,6.31,CS(=O)(=O)Nc1ccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)cc1,#ffc800,k,0,200,data,1,o
CHEMBL3661257,0.28734689950942993,-0.2263597548007965,6.54,Clc1ccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)cc1,#d7ff1f,k,0,200,data,1,o
CHEMBL3661273,0.33842116594314575,-0.15133428573608398,6.82,NC(=O)c1cccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)c1,#7dff7a,k,0,200,data,1,o
CHEMBL3661279,0.23432296514511108,0.30958688259124756,6.67,COc1cc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)ccc1O,#adff49,k,0,200,data,1,o
CHEMBL3661280,0.10847485065460205,-0.11923986673355103,6.45,Cc1ccc(F)cc1-c1ccc2ncnc(Nc3cccc4[nH]ncc34)c2c1,#f1fc06,k,0,200,data,1,o
CHEMBL3661286,0.3010662794113159,0.3394865393638611,7.0,COc1cccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)c1F,#46ffb1,k,0,200,data,1,o
CHEMBL3661291,0.19082653522491455,0.2768213748931885,6.93,COc1ccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)cc1C=O,#5dff9a,k,0,200,data,1,o
CHEMBL3661299,0.1853899359703064,-0.5,6.37,Fc1ccccc1-c1ccc2nccc(Nc3cccc4[nH]ncc34)c2c1,#ffde00,k,0,200,data,1,o
CHEMBL3661311,0.18267697095870972,0.05202603340148926,6.33,COc1cccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)c1,#ffd000,k,0,200,data,1,o
CHEMBL3661203,-0.2705700397491455,0.12406271696090698,7.43,COc1cc(-c2ccc3ncnc(Nc4cccc(O)c4)c3c2)ccc1O,#0094ff,k,0,200,data,1,o
CHEMBL3661205,-0.11703109741210938,0.23488348722457886,5.99,COc1cc(-c2ccc3ncnc(Nc4ccc(F)cc4)c3c2)ccc1O,#ff5500,k,0,200,data,1,o
CHEMBL3661230,-0.04781350493431091,0.21980732679367065,6.24,COc1cc(-c2ccc3ncnc(Nc4ccc(S(N)(=O)=O)cc4)c3c2)ccc1O,#ffae00,k,0,200,data,1,o
CHEMBL3661315,0.2742016315460205,-0.14297127723693848,6.63,c1cc(Nc2ncnc3ccc(-c4ccc5[nH]ncc5c4)cc23)c2cn[nH]c2c1,#baff3c,k,0,200,data,1,o
CHEMBL3665862,-0.13153961300849915,0.3690558075904846,7.63,COc1cc(-c2ccc3ncnc(Nc4ccc(F)c(O)c4)c3c2)ccc1O,#0048ff,r,2,250,N2,1,o
CHEMBL3665865,-0.24963775277137756,-0.23924538493156433,6.67,Oc1c(F)ccc(Nc2ncnc3ccc(-c4ccc(Cl)cc4)cc23)c1F,#adff49,k,0,200,data,1,o
CHEMBL3639601,0.38071131706237793,-0.16999241709709167,6.95,NC(=O)c1cccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)c1,#56ffa0,k,0,200,data,1,o
CHEMBL3661223,-0.2605594992637634,0.043752193450927734,6.07,COc1cc(-c2ccc3ncnc(Nc4cccc(N)c4)c3c2)ccc1O,#ff7300,k,0,200,data,1,o
CHEMBL3661259,-0.11280149221420288,-0.04527956247329712,6.15,COc1cc(-c2ccc3ncnc(Nc4cccc5nn[nH]c45)c3c2)ccc1O,#ff9100,k,0,200,data,1,o
CHEMBL3665860,-0.08232566714286804,-0.3169572353363037,7.71,COc1cc(-c2ccc3ncnc(Nc4cc(O)c(Cl)cc4F)c3c2)ccc1O,#0028ff,k,0,200,data,1,o
CHEMBL3665864,-0.2819364368915558,-0.24206140637397766,8.35,Oc1c(F)ccc(Nc2ncnc3ccc(-c4ccc5[nH]ncc5c4)cc23)c1F,#000080,k,0,200,data,1,o
CHEMBL3661275,-0.0618763267993927,0.021332263946533203,6.35,COc1cc(-c2ccc3ncnc(Nc4cccc5c4cnn5C)c3c2)ccc1O,#ffd700,k,0,200,data,1,o
CHEMBL3661278,0.2591908574104309,-0.016281932592391968,6.7,N#Cc1cccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)c1,#a4ff53,k,0,200,data,1,o
CHEMBL3943985,0.290971577167511,-0.11301073431968689,6.49,O=[SH](=O)Nc1ccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)cc1,#e4ff13,k,0,200,data,1,o
CHEMBL3665858,-0.0934702455997467,0.34373939037323,7.43,COc1cc(-c2ccc3ncnc(Nc4ccc(Cl)c(O)c4)c3c2)ccc1O,#0094ff,k,0,200,data,1,o
CHEMBL3661214,-0.5,0.01831662654876709,5.74,CCS(=O)(=O)Nc1ccc(-c2ccc3ncnc(Nc4ccccc4)c3c2)cc1,#e40000,k,0,200,data,1,o
CHEMBL3661296,0.49441254138946533,0.13912278413772583,6.58,CCCS(=O)(=O)Nc1cccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)c1,#caff2c,k,0,200,data,1,o
CHEMBL3661202,-0.4700307548046112,-0.0029957592487335205,5.31,Oc1ccc(-c2ccc3ncnc(Nc4ccccc4)c3c2)cc1,#800000,k,0,200,data,1,o
CHEMBL3661295,0.09181767702102661,-0.23882505297660828,6.55,Nc1ccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)cc1,#d4ff23,k,0,200,data,1,o
CHEMBL3661300,0.011836469173431396,0.03593456745147705,6.79,COc1cc(-c2ccc3ncnc(Nc4cccc5[nH]nc(Cl)c45)c3c2)ccc1O,#87ff70,k,0,200,data,1,o
CHEMBL3661302,-0.3869876265525818,0.29865461587905884,5.37,COc1cc(-c2ccc3nccc(Nc4cc(NS(C)(=O)=O)ccc4F)c3c2)ccc1O,#800000,r,2,250,N1,1,o
CHEMBL3661212,-0.3296726644039154,0.09900110960006714,6.39,COc1cccc(Nc2ncnc3ccc(-c4ccc(O)c(OC)c4)cc23)c1,#ffe600,k,0,200,data,1,o
CHEMBL3661215,-0.07500636577606201,0.3259314298629761,6.08,COc1ccc(Nc2ncnc3ccc(-c4ccc(O)c(OC)c4)cc23)cc1O,#ff7700,g,2,250,P2,1,o
CHEMBL3661201,-0.14646360278129578,0.11161547899246216,6.12,COc1cc(-c2ccc3ncnc(Nc4ccccc4)c3c2)ccc1O,#ff8600,k,0,200,data,1,o
CHEMBL1357167,-0.31108558177948,-0.11054718494415283,5.47,COc1cccc(-c2ccc3ncnc(Nc4ccccc4)c3c2)c1,#800000,k,0,200,data,1,o
CHEMBL3661211,-0.22021666169166565,-0.43141278624534607,5.87,COc1cc(-c2ccc3ncnc(Nc4ccc(Cl)cc4O)c3c2)ccc1O,#ff2900,k,0,200,data,1,o
CHEMBL3661225,-0.024889260530471802,0.5,5.84,COc1cc(-c2ccc3ncnc(Nc4ccc5cn[nH]c5c4)c3c2)ccc1O,#ff2200,k,0,200,data,1,o
CHEMBL3661256,0.2959076166152954,-0.3075937330722809,6.25,Fc1ccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)cc1Cl,#ffb200,k,0,200,data,1,o
CHEMBL3661258,0.15410840511322021,-0.11674773693084717,6.55,Fc1cccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)c1,#d4ff23,k,0,200,data,1,o
CHEMBL3661231,-0.25352048873901367,0.28025954961776733,7.14,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1-c1ccc(O)cc1,#19ffde,k,0,200,data,1,o
CHEMBL3661236,-0.31185591220855713,0.211570143699646,6.37,COc1cc(-c2ccc3ncnc(Nc4cccc(NS(C)(=O)=O)c4)c3c2)ccc1O,#ffde00,b,2,250,A1,1,o
