,Unnamed: 0,group,with_aca,lii,repre,method,dataset,epoch
0,0,test,wo_aca,1.0446566,structure,structure,CHEMBL218_EC50,100
1,1,train,wo_aca,0.80179536,structure,structure,CHEMBL218_EC50,100
2,0,test,wi_aca,0.7626186,latent,latent:wi_aca,CHEMBL218_EC50,100
3,1,test,wo_aca,0.9704914,latent,latent:wo_aca,CHEMBL218_EC50,100
4,2,train,wi_aca,0.4244029,latent,latent:wi_aca,CHEMBL218_EC50,100
5,3,train,wo_aca,0.69573164,latent,latent:wo_aca,CHEMBL218_EC50,100
0,0,test,wo_aca,0.8847373,structure,structure,CHEMBL235_EC50,100
1,1,train,wo_aca,0.7275194,structure,structure,CHEMBL235_EC50,100
2,0,test,wi_aca,0.7216453,latent,latent:wi_aca,CHEMBL235_EC50,100
3,1,test,wo_aca,0.8006947,latent,latent:wo_aca,CHEMBL235_EC50,100
4,2,train,wi_aca,0.5788147,latent,latent:wi_aca,CHEMBL235_EC50,100
5,3,train,wo_aca,0.6294567,latent,latent:wo_aca,CHEMBL235_EC50,100
0,0,test,wo_aca,0.8203279,structure,structure,CHEMBL2047_EC50,100
1,1,train,wo_aca,0.6999886,structure,structure,CHEMBL2047_EC50,100
2,0,test,wi_aca,0.65775585,latent,latent:wi_aca,CHEMBL2047_EC50,100
3,1,test,wo_aca,0.7724073,latent,latent:wo_aca,CHEMBL2047_EC50,100
4,2,train,wi_aca,0.39388222,latent,latent:wi_aca,CHEMBL2047_EC50,100
5,3,train,wo_aca,0.5621225,latent,latent:wo_aca,CHEMBL2047_EC50,100
0,0,test,wo_aca,0.98427844,structure,structure,CHEMBL236_Ki,100
1,1,train,wo_aca,0.7733185,structure,structure,CHEMBL236_Ki,100
2,0,test,wi_aca,0.7519513,latent,latent:wi_aca,CHEMBL236_Ki,100
3,1,test,wo_aca,0.87846065,latent,latent:wo_aca,CHEMBL236_Ki,100
4,2,train,wi_aca,0.4927123,latent,latent:wi_aca,CHEMBL236_Ki,100
5,3,train,wo_aca,0.63466644,latent,latent:wo_aca,CHEMBL236_Ki,100
0,0,test,wo_aca,1.0136638,structure,structure,CHEMBL239_EC50,100
1,1,train,wo_aca,0.78887105,structure,structure,CHEMBL239_EC50,100
2,0,test,wi_aca,0.73948586,latent,latent:wi_aca,CHEMBL239_EC50,100
3,1,test,wo_aca,0.882383,latent,latent:wo_aca,CHEMBL239_EC50,100
4,2,train,wi_aca,0.4713824,latent,latent:wi_aca,CHEMBL239_EC50,100
5,3,train,wo_aca,0.699715,latent,latent:wo_aca,CHEMBL239_EC50,100
0,0,test,wo_aca,0.9354013,structure,structure,CHEMBL214_Ki,100
1,1,train,wo_aca,0.74713314,structure,structure,CHEMBL214_Ki,100
2,0,test,wi_aca,0.70324355,latent,latent:wi_aca,CHEMBL214_Ki,100
3,1,test,wo_aca,0.8627701,latent,latent:wo_aca,CHEMBL214_Ki,100
4,2,train,wi_aca,0.4477513,latent,latent:wi_aca,CHEMBL214_Ki,100
5,3,train,wo_aca,0.635858,latent,latent:wo_aca,CHEMBL214_Ki,100
0,0,test,wo_aca,0.89122826,structure,structure,CHEMBL4005_Ki,100
1,1,train,wo_aca,0.697112,structure,structure,CHEMBL4005_Ki,100
2,0,test,wi_aca,0.71016204,latent,latent:wi_aca,CHEMBL4005_Ki,100
3,1,test,wo_aca,0.7844263,latent,latent:wo_aca,CHEMBL4005_Ki,100
4,2,train,wi_aca,0.49333182,latent,latent:wi_aca,CHEMBL4005_Ki,100
5,3,train,wo_aca,0.5995634,latent,latent:wo_aca,CHEMBL4005_Ki,100
0,0,test,wo_aca,1.1422827,structure,structure,CHEMBL287_Ki,100
1,1,train,wo_aca,0.92712927,structure,structure,CHEMBL287_Ki,100
2,0,test,wi_aca,0.7977643,latent,latent:wi_aca,CHEMBL287_Ki,100
3,1,test,wo_aca,0.92058384,latent,latent:wo_aca,CHEMBL287_Ki,100
4,2,train,wi_aca,0.5183047,latent,latent:wi_aca,CHEMBL287_Ki,100
5,3,train,wo_aca,0.6866394,latent,latent:wo_aca,CHEMBL287_Ki,100
0,0,test,wo_aca,0.89891654,structure,structure,CHEMBL234_Ki,100
1,1,train,wo_aca,0.7457086,structure,structure,CHEMBL234_Ki,100
2,0,test,wi_aca,0.6903374,latent,latent:wi_aca,CHEMBL234_Ki,100
3,1,test,wo_aca,0.8594075,latent,latent:wo_aca,CHEMBL234_Ki,100
4,2,train,wi_aca,0.4370013,latent,latent:wi_aca,CHEMBL234_Ki,100
5,3,train,wo_aca,0.64722884,latent,latent:wo_aca,CHEMBL234_Ki,100
0,0,test,wo_aca,0.9781172,structure,structure,CHEMBL237_Ki,100
1,1,train,wo_aca,0.8133974,structure,structure,CHEMBL237_Ki,100
2,0,test,wi_aca,0.78857327,latent,latent:wi_aca,CHEMBL237_Ki,100
3,1,test,wo_aca,0.9095375,latent,latent:wo_aca,CHEMBL237_Ki,100
4,2,train,wi_aca,0.5485104,latent,latent:wi_aca,CHEMBL237_Ki,100
5,3,train,wo_aca,0.6808059,latent,latent:wo_aca,CHEMBL237_Ki,100
0,0,test,wo_aca,1.1251241,structure,structure,CHEMBL204_Ki,100
1,1,train,wo_aca,0.8767713,structure,structure,CHEMBL204_Ki,100
2,0,test,wi_aca,0.78648907,latent,latent:wi_aca,CHEMBL204_Ki,100
3,1,test,wo_aca,0.9982906,latent,latent:wo_aca,CHEMBL204_Ki,100
4,2,train,wi_aca,0.53585285,latent,latent:wi_aca,CHEMBL204_Ki,100
5,3,train,wo_aca,0.74339235,latent,latent:wo_aca,CHEMBL204_Ki,100
0,0,test,wo_aca,0.9200909,structure,structure,CHEMBL4792_Ki,100
1,1,train,wo_aca,0.79316163,structure,structure,CHEMBL4792_Ki,100
2,0,test,wi_aca,0.7142481,latent,latent:wi_aca,CHEMBL4792_Ki,100
3,1,test,wo_aca,0.8512224,latent,latent:wo_aca,CHEMBL4792_Ki,100
4,2,train,wi_aca,0.4233265,latent,latent:wi_aca,CHEMBL4792_Ki,100
5,3,train,wo_aca,0.6378362,latent,latent:wo_aca,CHEMBL4792_Ki,100
0,0,test,wo_aca,0.8278866,structure,structure,CHEMBL2971_Ki,100
1,1,train,wo_aca,0.65070295,structure,structure,CHEMBL2971_Ki,100
2,0,test,wi_aca,0.6498925,latent,latent:wi_aca,CHEMBL2971_Ki,100
3,1,test,wo_aca,0.73028827,latent,latent:wo_aca,CHEMBL2971_Ki,100
4,2,train,wi_aca,0.41728663,latent,latent:wi_aca,CHEMBL2971_Ki,100
5,3,train,wo_aca,0.5352674,latent,latent:wo_aca,CHEMBL2971_Ki,100
0,0,test,wo_aca,1.0510566,structure,structure,CHEMBL233_Ki,100
1,1,train,wo_aca,0.803772,structure,structure,CHEMBL233_Ki,100
2,0,test,wi_aca,0.82079536,latent,latent:wi_aca,CHEMBL233_Ki,100
3,1,test,wo_aca,0.9674805,latent,latent:wo_aca,CHEMBL233_Ki,100
4,2,train,wi_aca,0.45877454,latent,latent:wi_aca,CHEMBL233_Ki,100
5,3,train,wo_aca,0.6465124,latent,latent:wo_aca,CHEMBL233_Ki,100
0,0,test,wo_aca,0.9981017,structure,structure,CHEMBL2147_Ki,100
1,1,train,wo_aca,0.82596684,structure,structure,CHEMBL2147_Ki,100
2,0,test,wi_aca,0.6777892,latent,latent:wi_aca,CHEMBL2147_Ki,100
3,1,test,wo_aca,0.83096606,latent,latent:wo_aca,CHEMBL2147_Ki,100
4,2,train,wi_aca,0.49063936,latent,latent:wi_aca,CHEMBL2147_Ki,100
5,3,train,wo_aca,0.62655425,latent,latent:wo_aca,CHEMBL2147_Ki,100
0,0,test,wo_aca,1.0982568,structure,structure,CHEMBL4203_Ki,100
1,1,train,wo_aca,0.8890255,structure,structure,CHEMBL4203_Ki,100
2,0,test,wi_aca,0.9347657,latent,latent:wi_aca,CHEMBL4203_Ki,100
3,1,test,wo_aca,0.9608062,latent,latent:wo_aca,CHEMBL4203_Ki,100
4,2,train,wi_aca,0.43944126,latent,latent:wi_aca,CHEMBL4203_Ki,100
5,3,train,wo_aca,0.712436,latent,latent:wo_aca,CHEMBL4203_Ki,100
0,0,test,wo_aca,1.0668024,structure,structure,CHEMBL219_Ki,100
1,1,train,wo_aca,0.81712437,structure,structure,CHEMBL219_Ki,100
2,0,test,wi_aca,0.70892227,latent,latent:wi_aca,CHEMBL219_Ki,100
3,1,test,wo_aca,0.94634104,latent,latent:wo_aca,CHEMBL219_Ki,100
4,2,train,wi_aca,0.4156528,latent,latent:wi_aca,CHEMBL219_Ki,100
5,3,train,wo_aca,0.6659357,latent,latent:wo_aca,CHEMBL219_Ki,100
0,0,test,wo_aca,0.90514535,structure,structure,CHEMBL238_Ki,100
1,1,train,wo_aca,0.74763876,structure,structure,CHEMBL238_Ki,100
2,0,test,wi_aca,0.6539632,latent,latent:wi_aca,CHEMBL238_Ki,100
3,1,test,wo_aca,0.7815001,latent,latent:wo_aca,CHEMBL238_Ki,100
4,2,train,wi_aca,0.38118172,latent,latent:wi_aca,CHEMBL238_Ki,100
5,3,train,wo_aca,0.56748366,latent,latent:wo_aca,CHEMBL238_Ki,100
0,0,test,wo_aca,0.962196,structure,structure,CHEMBL4616_EC50,100
1,1,train,wo_aca,0.75280344,structure,structure,CHEMBL4616_EC50,100
2,0,test,wi_aca,0.71722674,latent,latent:wi_aca,CHEMBL4616_EC50,100
3,1,test,wo_aca,0.8208413,latent,latent:wo_aca,CHEMBL4616_EC50,100
4,2,train,wi_aca,0.5015953,latent,latent:wi_aca,CHEMBL4616_EC50,100
5,3,train,wo_aca,0.6255906,latent,latent:wo_aca,CHEMBL4616_EC50,100
0,0,test,wo_aca,1.1338187,structure,structure,CHEMBL228_Ki,100
1,1,train,wo_aca,0.8328991,structure,structure,CHEMBL228_Ki,100
2,0,test,wi_aca,0.7222459,latent,latent:wi_aca,CHEMBL228_Ki,100
3,1,test,wo_aca,0.95004654,latent,latent:wo_aca,CHEMBL228_Ki,100
4,2,train,wi_aca,0.44981578,latent,latent:wi_aca,CHEMBL228_Ki,100
5,3,train,wo_aca,0.67046106,latent,latent:wo_aca,CHEMBL228_Ki,100
0,0,test,wo_aca,1.0945588,structure,structure,CHEMBL244_Ki,100
1,1,train,wo_aca,0.8484571,structure,structure,CHEMBL244_Ki,100
2,0,test,wi_aca,0.7590855,latent,latent:wi_aca,CHEMBL244_Ki,100
3,1,test,wo_aca,0.9947148,latent,latent:wo_aca,CHEMBL244_Ki,100
4,2,train,wi_aca,0.4980391,latent,latent:wi_aca,CHEMBL244_Ki,100
