,cl,cu,rmse,rmse_err
0,0.1,0.5,0.5430172820885977,0.0014922449986140562
1,0.1,1.0,0.54258334338665,7.089078426358864e-05
2,0.1,1.5,0.5404944484432539,0.001718003054459849
3,0.1,2.0,0.5544338141878447,0.003486301998297414
4,0.1,2.5,0.561054453253746,0.004319782058397892
5,0.28,1.5,0.5436973144610723,0.0003036181131998994
6,0.45,1.5,0.5400430232286453,0.006789758801460322
7,0.62,1.5,0.5414180070161819,0.0021297385295231397
8,0.8,1.5,0.5453857868909835,0.0006689707438151671
9,0.98,1.5,0.549005563557148,0.004566188156604756
10,1.15,1.5,0.5407506709297498,0.0002852941552797805
11,1.33,1.5,0.542885851363341,0.001269967854023002
